# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: C:\Users\Miguel\Desktop\ECE178\Seven_Segment\output_files\Seven_Segment.csv
# Generated on: Sat Jun  1 20:26:31 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_G8,,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_AF13,,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_AE26,,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_F28,,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_H7,,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_AE15,,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_E18,,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_AA8,,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_C5,,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_AD28,,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_V1,,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_AA13,,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_AF2,,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_J13,,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE6,,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AH25,,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE28,,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AD18,,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_G13,,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_C19,,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_F14,,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_G7,,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_G27,,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AF27,,,,,,
